Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3871,2
Datteln,1823,0
Dorsten,2893,0
Gladbeck,4859,0
Haltern am See,999,0
Herten,3546,7
Marl,4403,3
Oer-Erkenschwick,1755,2
Recklinghausen,6160,6
Waltrop,1317,0
