Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4582,25
Datteln,2255,6
Dorsten,3463,11
Gladbeck,6152,17
Haltern am See,1204,8
Herten,4378,13
Marl,5530,21
Oer-Erkenschwick,2124,13
Recklinghausen,7837,27
Waltrop,1535,3
