Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3872,0
Datteln,1830,0
Dorsten,2908,1
Gladbeck,4879,1
Haltern am See,1003,1
Herten,3561,0
Marl,4413,1
Oer-Erkenschwick,1761,0
Recklinghausen,6194,0
Waltrop,1315,0
