Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4778,17
Datteln,2353,10
Dorsten,3588,9
Gladbeck,6321,16
Haltern am See,1295,3
Herten,4639,20
Marl,5767,24
Oer-Erkenschwick,2191,1
Recklinghausen,8218,20
Waltrop,1628,8
