Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3863,2
Datteln,1823,1
Dorsten,2891,0
Gladbeck,4856,0
Haltern am See,998,0
Herten,3528,0
Marl,4397,0
Oer-Erkenschwick,1746,0
Recklinghausen,6145,1
Waltrop,1317,0
