Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3860,3
Datteln,1821,0
Dorsten,2889,3
Gladbeck,4848,1
Haltern am See,998,2
Herten,3525,2
Marl,4390,3
Oer-Erkenschwick,1746,0
Recklinghausen,6141,1
Waltrop,1317,0
