Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3869,3
Datteln,1823,0
Dorsten,2893,2
Gladbeck,4859,1
Haltern am See,999,1
Herten,3539,4
Marl,4400,1
Oer-Erkenschwick,1753,6
Recklinghausen,6154,3
Waltrop,1317,0
