Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4258,6
Datteln,1998,5
Dorsten,3250,4
Gladbeck,5677,17
Haltern am See,1104,4
Herten,4010,6
Marl,5067,6
Oer-Erkenschwick,1905,6
Recklinghausen,7109,17
Waltrop,1413,5
