Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4557,2
Datteln,2249,3
Dorsten,3452,2
Gladbeck,6135,3
Haltern am See,1196,2
Herten,4365,4
Marl,5509,8
Oer-Erkenschwick,2111,2
Recklinghausen,7810,3
Waltrop,1532,0
