Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5168,21
Datteln,2525,7
Dorsten,3945,29
Gladbeck,6879,26
Haltern am See,1486,3
Herten,5058,30
Marl,6261,22
Oer-Erkenschwick,2365,15
Recklinghausen,8892,30
Waltrop,1783,7
