Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3874,1
Datteln,1826,0
Dorsten,2897,1
Gladbeck,4864,0
Haltern am See,1000,0
Herten,3553,0
Marl,4411,0
Oer-Erkenschwick,1758,0
Recklinghausen,6170,1
Waltrop,1317,0
