Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4974,9
Datteln,2421,4
Dorsten,3713,9
Gladbeck,6525,24
Haltern am See,1375,14
Herten,4785,13
Marl,5964,14
Oer-Erkenschwick,2245,3
Recklinghausen,8471,26
Waltrop,1687,8
