Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5618,11
Datteln,2686,8
Dorsten,4432,23
Gladbeck,7559,21
Haltern am See,1729,21
Herten,5568,19
Marl,6710,20
Oer-Erkenschwick,2673,10
Recklinghausen,9857,38
Waltrop,1928,1
