Gemeinde,Gesamtfallzahlen
Castrop-Rauxel,3850
Datteln,1818
Dorsten,2874
Gladbeck,4833
Haltern am See,990
Herten,3510
Marl,4345
Oer-Erkenschwick,1738
Recklinghausen,6126
Waltrop,1318
