Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5449,15
Datteln,2624,10
Dorsten,4225,31
Gladbeck,7372,33
Haltern am See,1610,13
Herten,5386,23
Marl,6507,27
Oer-Erkenschwick,2586,16
Recklinghausen,9405,60
Waltrop,1865,6
