Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,6101,54
Datteln,2858,22
Dorsten,4856,46
Gladbeck,7940,36
Haltern am See,1892,12
Herten,6016,49
Marl,7173,46
Oer-Erkenschwick,2860,30
Recklinghausen,10678,94
Waltrop,2069,18
