Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4288,0
Datteln,2022,0
Dorsten,3270,2
Gladbeck,5730,1
Haltern am See,1111,0
Herten,4028,0
Marl,5115,4
Oer-Erkenschwick,1926,2
Recklinghausen,7186,3
Waltrop,1425,1
