Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4262,4
Datteln,2004,6
Dorsten,3257,7
Gladbeck,5689,12
Haltern am See,1107,3
Herten,4015,5
Marl,5085,18
Oer-Erkenschwick,1907,2
Recklinghausen,7140,31
Waltrop,1418,5
