Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5781,26
Datteln,2745,15
Dorsten,4600,22
Gladbeck,7708,27
Haltern am See,1792,12
Herten,5732,39
Marl,6893,45
Oer-Erkenschwick,2724,9
Recklinghausen,10176,53
Waltrop,1964,12
