Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,3948,0
Datteln,1857,1
Dorsten,2962,0
Gladbeck,5003,2
Haltern am See,1021,1
Herten,3622,3
Marl,4456,1
Oer-Erkenschwick,1774,1
Recklinghausen,6258,2
Waltrop,1326,1
