Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4893,52
Datteln,2388,20
Dorsten,3647,28
Gladbeck,6419,43
Haltern am See,1336,17
Herten,4719,28
Marl,5876,47
Oer-Erkenschwick,2222,14
Recklinghausen,8356,62
Waltrop,1655,13
