Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,4087,11
Datteln,1905,4
Dorsten,3097,2
Gladbeck,5299,7
Haltern am See,1060,2
Herten,3786,3
Marl,4700,16
Oer-Erkenschwick,1822,2
Recklinghausen,6591,11
Waltrop,1349,1
