Gemeinde,Gesamtfallzahlen,Neu
Castrop-Rauxel,5888,32
Datteln,2782,12
Dorsten,4696,19
Gladbeck,7783,13
Haltern am See,1830,13
Herten,5832,30
Marl,6994,26
Oer-Erkenschwick,2772,18
Recklinghausen,10355,60
Waltrop,1991,4
