Wohnort,Gesamtzahlen
Breckerfeld,542
Ennepetal,1907
Gevelsberg,1989
Hattingen,3175
Herdecke,1215
Schwelm,2023
Sprockhövel,1240
Wetter,1499
Witten,5806
