Wohnort,Gesamtzahlen
Breckerfeld,477
Ennepetal,1584
Gevelsberg,1658
Hattingen,2693
Herdecke,1020
Schwelm,1704
Sprockhövel,1037
Wetter,1248
Witten,4984
