Wohnort,Gesamtzahlen
Breckerfeld,502
Ennepetal,1725
Gevelsberg,1855
Hattingen,2869
Herdecke,1093
Schwelm,1856
Sprockhövel,1124
Wetter,1333
Witten,5246
