Wohnort,Gesamtzahlen
Breckerfeld,628
Ennepetal,2183
Gevelsberg,2190
Hattingen,3528
Herdecke,1381
Schwelm,2348
Sprockhövel,1388
Wetter,1698
Witten,6382
