Wohnort,Gesamtzahlen
Breckerfeld,615
Ennepetal,2132
Gevelsberg,2161
Hattingen,3465
Herdecke,1358
Schwelm,2284
Sprockhövel,1351
Wetter,1685
Witten,6300
