Wohnort,Gesamtzahlen
Breckerfeld,613
Ennepetal,2124
Gevelsberg,2148
Hattingen,3437
Herdecke,1341
Schwelm,2257
Sprockhövel,1342
Wetter,1670
Witten,6272
