Wohnort,Gesamtzahlen
Breckerfeld,613
Ennepetal,2124
Gevelsberg,2149
Hattingen,3449
Herdecke,1343
Schwelm,2260
Sprockhövel,1346
Wetter,1672
Witten,6277
