Wohnort,Gesamtzahlen
Breckerfeld,488
Ennepetal,1622
Gevelsberg,1723
Hattingen,2743
Herdecke,1047
Schwelm,1754
Sprockhövel,1067
Wetter,1265
Witten,5043
