Wohnort,Gesamtzahlen
Breckerfeld,556
Ennepetal,1953
Gevelsberg,2028
Hattingen,3232
Herdecke,1243
Schwelm,2091
Sprockhövel,1272
Wetter,1538
Witten,5911
