Wohnort,Gesamtzahlen
Breckerfeld,649
Ennepetal,2258
Gevelsberg,2247
Hattingen,3632
Herdecke,1427
Schwelm,2398
Sprockhövel,1444
Wetter,1736
Witten,6511
