Wohnort,Gesamtzahlen
Breckerfeld,521
Ennepetal,1825
Gevelsberg,1943
Hattingen,3056
Herdecke,1164
Schwelm,1933
Sprockhövel,1197
Wetter,1415
Witten,5572
