Wohnort,Gesamtzahlen
Breckerfeld,573
Ennepetal,12052
Gevelsberg,2086
Hattingen,3344
Herdecke,1292
Schwelm,2177
Sprockhövel,1311
Wetter,1621
Witten,6103
