Wohnort,Gesamtzahlen
Breckerfeld,683
Ennepetal,2421
Gevelsberg,2435
Hattingen,3824
Herdecke,1512
Schwelm,2573
Sprockhövel,1575
Wetter,1860
Witten,6995
