Wohnort,Gesamtzahlen
Breckerfeld,503
Ennepetal,1750
Gevelsberg,1887
Hattingen,2916
Herdecke,1108
Schwelm,1882
Sprockhövel,1148
Wetter,1352
Witten,5326
