Wohnort,Gesamtzahlen
Breckerfeld,497
Ennepetal,1684
Gevelsberg,1813
Hattingen,2813
Herdecke,1072
Schwelm,1818
Sprockhövel,1106
Wetter,1308
Witten,5160
