Wohnort,Gesamtzahlen
Breckerfeld,604
Ennepetal,2099
Gevelsberg,2136
Hattingen,3415
Herdecke,1321
Schwelm,2236
Sprockhövel,1337
Wetter,1663
Witten,6230
