Wohnort,Gesamtzahlen
Breckerfeld,656
Ennepetal,2289
Gevelsberg,2264
Hattingen,3651
Herdecke,1440
Schwelm,2424
Sprockhövel,1465
Wetter,1753
Witten,6581
