,last7,last14,mix,Gemeinde
Bad Driburg,388,669,388.0,Bad Driburg
Beverungen,114,165,114.0,Beverungen
Borgentreich,87,164,87.0,Borgentreich
Brakel,213,371,213.0,Brakel
Höxter,174,312,174.0,Höxter
Marienmünster,74,118,74.0,Marienmünster
Nieheim,54,71,54.0,Nieheim
Steinheim,183,300,183.0,Steinheim
Warburg,246,408,246.0,Warburg
Willebadessen,109,186,109.0,Willebadessen
GESAMT,1642,2764,1642.0,GESAMT
