,01_29_2022,01_28_2022
Kreis Borken,39015,37919
Ahaus,4848,4694
Bocholt,6814,6675
Borken,4374,4258
Gescher,1352,1324
Gronau,6735,6489
Heek,871,852
Heiden,767,743
Isselburg,918,905
Legden,718,693
Raesfeld,897,876
Reken,1156,1101
Rhede,1553,1512
Schöppingen,698,688
Stadtlohn,2263,2200
Südlohn,715,691
Velen,1346,1292
Vreden,2826,2766
abweichender Meldeort,164,160
