,02_13_2022,02_12_2022
Kreis Borken,53995,53292
Ahaus,6447,6366
Bocholt,9314,9186
Borken,6562,6432
Gescher,1984,1921
Gronau,8644,8619
Heek,1209,1191
Heiden,1048,1031
Isselburg,1227,1213
Legden,1049,1037
Raesfeld,1230,1213
Reken,1791,1761
Rhede,2282,2245
Schöppingen,974,960
Stadtlohn,3399,3361
Südlohn,1083,1075
Velen,1962,1925
Vreden,3655,3623
abweichender Meldeort,135,133
