,11_04_2021,11_03_2021
Kreis Borken,17242,17110
Ahaus,2067,2045
Bocholt,3079,3046
Borken,1850,1837
Gescher,694,691
Gronau,3243,3219
Heek,427,424
Heiden,292,291
Isselburg,529,529
Legden,317,316
Raesfeld,449,447
Reken,547,547
Rhede,736,728
Schöppingen,345,342
Stadtlohn,883,876
Südlohn,240,238
Velen,507,501
Vreden,956,954
abweichender Meldeort,81,79
