,05_28_2021
Kreis Borken,13725
Ahaus,1655
Bocholt,2519
Borken,1485
Gescher,614
Gronau,2226
Heek,393
Heiden,227
Isselburg,448
Legden,273
Raesfeld,389
Reken,484
Rhede,606
Schöppingen,275
Stadtlohn,652
Südlohn,215
Velen,417
Vreden,847
