,12_18_2021,12_17_2021
Kreis Borken,22312,22233
Ahaus,2606,2603
Bocholt,4076,4059
Borken,2348,2338
Gescher,855,850
Gronau,4140,4130
Heek,556,550
Heiden,419,419
Isselburg,667,667
Legden,416,416
Raesfeld,556,556
Reken,673,673
Rhede,969,962
Schöppingen,446,440
Stadtlohn,1198,1194
Südlohn,348,345
Velen,681,676
Vreden,1250,1247
abweichender Meldeort,108,108
