,09_18_2021,09_17_2021
Kreis Borken,15804,15783
Ahaus,1920,1919
Bocholt,2905,2901
Borken,1677,1677
Gescher,651,650
Gronau,2807,2800
Heek,420,420
Heiden,260,257
Isselburg,491,491
Legden,293,293
Raesfeld,414,414
Reken,520,520
Rhede,675,675
Schöppingen,319,318
Stadtlohn,783,782
Südlohn,228,227
Velen,464,464
Vreden,914,912
abweichender Meldeort,63,63
