,01_04_2022,01_03_2022
Kreis Borken,24238,23933
Ahaus,2965,2902
Bocholt,4304,4288
Borken,2529,2499
Gescher,894,885
Gronau,4452,4384
Heek,610,606
Heiden,435,429
Isselburg,682,682
Legden,440,434
Raesfeld,584,581
Reken,710,710
Rhede,1045,1040
Schöppingen,489,482
Stadtlohn,1287,1276
Südlohn,388,381
Velen,723,711
Vreden,1588,1530
abweichender Meldeort,113,113
