,09_30_2021,09_29_2021
Kreis Borken,16019,15988
Ahaus,1944,1938
Bocholt,2930,2928
Borken,1698,1696
Gescher,654,653
Gronau,2879,2869
Heek,421,421
Heiden,268,267
Isselburg,494,493
Legden,297,296
Raesfeld,417,416
Reken,525,522
Rhede,681,680
Schöppingen,330,330
Stadtlohn,799,798
Südlohn,230,230
Velen,470,469
Vreden,919,919
abweichender Meldeort,63,63
