,11_01_2021,10_31_2021
Kreis Borken,17049,17049
Ahaus,2034,2034
Bocholt,3041,3041
Borken,1835,1835
Gescher,689,689
Gronau,3210,3210
Heek,425,425
Heiden,290,290
Isselburg,528,528
Legden,313,313
Raesfeld,446,446
Reken,543,543
Rhede,723,723
Schöppingen,337,337
Stadtlohn,873,873
Südlohn,238,238
Velen,501,501
Vreden,945,945
abweichender Meldeort,78,78
