,12_10_2021,12_09_2021
Kreis Borken,21536,21377
Ahaus,2568,2561
Bocholt,3858,3815
Borken,2254,2234
Gescher,844,844
Gronau,3998,3960
Heek,529,524
Heiden,415,414
Isselburg,648,642
Legden,395,392
Raesfeld,545,541
Reken,659,657
Rhede,918,915
Schöppingen,427,425
Stadtlohn,1167,1159
Südlohn,330,328
Velen,658,654
Vreden,1218,1208
abweichender Meldeort,105,104
