,02_17_2022,02_16_2022
Kreis Borken,58259,56939
Ahaus,6860,6775
Bocholt,9957,9751
Borken,7108,6964
Gescher,2184,2124
Gronau,9235,9007
Heek,1348,1315
Heiden,1147,1115
Isselburg,1360,1303
Legden,1147,1124
Raesfeld,1393,1335
Reken,1975,1935
Rhede,2521,2425
Schöppingen,1075,1055
Stadtlohn,3654,3566
Südlohn,1180,1148
Velen,2097,2043
Vreden,3888,3826
abweichender Meldeort,130,128
