,10_28_2021,10_27_2021
Kreis Borken,16846,16744
Ahaus,2010,2002
Bocholt,3004,2982
Borken,1811,1799
Gescher,683,678
Gronau,3162,3146
Heek,424,424
Heiden,289,288
Isselburg,519,516
Legden,310,310
Raesfeld,441,441
Reken,535,529
Rhede,720,714
Schöppingen,336,336
Stadtlohn,856,846
Südlohn,236,235
Velen,494,491
Vreden,943,938
abweichender Meldeort,73,69
