,06_18_2021,06_17_2021
Kreis Borken,13839,13834
Ahaus,1663,1663
Bocholt,2534,2533
Borken,1491,1491
Gescher,621,620
Gronau,2273,2272
Heek,395,395
Heiden,227,227
Isselburg,449,448
Legden,282,282
Raesfeld,389,389
Reken,485,485
Rhede,609,609
Schöppingen,286,286
Stadtlohn,654,653
Südlohn,214,214
Velen,419,419
Vreden,848,848
