,09_22_2021,09_21_2021
Kreis Borken,15872,15838
Ahaus,1925,1923
Bocholt,2911,2909
Borken,1683,1681
Gescher,651,651
Gronau,2824,2816
Heek,421,420
Heiden,267,266
Isselburg,491,491
Legden,294,294
Raesfeld,415,415
Reken,520,519
Rhede,677,676
Schöppingen,327,322
Stadtlohn,791,784
Südlohn,229,228
Velen,467,464
Vreden,915,915
abweichender Meldeort,64,64
