,08_09_2021,08_08_2021
Kreis Borken,14272,14272
Ahaus,1709,1709
Bocholt,2619,2619
Borken,1517,1517
Gescher,629,629
Gronau,2393,2393
Heek,401,401
Heiden,228,228
Isselburg,456,456
Legden,284,284
Raesfeld,396,396
Reken,486,486
Rhede,629,629
Schöppingen,297,297
Stadtlohn,675,675
Südlohn,215,215
Velen,433,433
Vreden,862,862
abweichender Meldeort,43,43
