,12_19_2021,12_18_2021
Kreis Borken,22397,22309
Ahaus,2613,2606
Bocholt,4087,4074
Borken,2353,2347
Gescher,856,855
Gronau,4154,4140
Heek,559,556
Heiden,420,419
Isselburg,668,667
Legden,418,416
Raesfeld,561,556
Reken,677,673
Rhede,981,969
Schöppingen,450,446
Stadtlohn,1209,1198
Südlohn,349,348
Velen,682,681
Vreden,1252,1250
abweichender Meldeort,108,108
