,11_28_2021,11_27_2021
Kreis Borken,19929,19853
Ahaus,2431,2424
Bocholt,3513,3501
Borken,2091,2087
Gescher,804,798
Gronau,3660,3648
Heek,489,487
Heiden,376,373
Isselburg,602,602
Legden,364,362
Raesfeld,495,489
Reken,626,626
Rhede,856,849
Schöppingen,404,403
Stadtlohn,1073,1067
Südlohn,304,302
Velen,605,604
Vreden,1137,1132
abweichender Meldeort,99,99
