,01_26_2022,Vortag
Bad Oeynhausen,5501,5359
Espelkamp,4714,4662
Hille,1250,1227
Hüllhorst,1560,1540
Lübbecke,3473,3423
Minden,9775,9633
Petershagen,1930,1891
Porta Westfalica,3375,3306
Preußisch Oldendorf,1440,1417
Rahden,1651,1625
Stemwede,1024,1002
