,08_17_2021,Vortag
Bad Oeynhausen,2257,2246
Espelkamp,1842,1838
Hille,531,530
Hüllhorst,731,730
Lübbecke,1536,1536
Minden,4363,4356
Petershagen,934,930
Porta Westfalica,1261,1258
Preußisch Oldendorf,691,690
Rahden,795,795
Stemwede,565,565
