,09_20_2021,Vortag
Bad Oeynhausen,2596,2558
Espelkamp,2209,2154
Hille,573,569
Hüllhorst,861,857
Lübbecke,1682,1674
Minden,4875,4851
Petershagen,1003,995
Porta Westfalica,1470,1459
Preußisch Oldendorf,751,749
Rahden,867,866
Stemwede,603,603
