,12_27_2021,Vortag
Bad Oeynhausen,4102,4067
Espelkamp,4020,4002
Hille,876,868
Hüllhorst,1268,1261
Lübbecke,2744,2736
Minden,7263,7158
Petershagen,1511,1500
Porta Westfalica,2536,2512
Preußisch Oldendorf,1174,1172
Rahden,1325,1314
Stemwede,845,839
