,08_05_2021,Vortag
Bad Oeynhausen,2213,2206
Espelkamp,1808,1803
Hille,520,519
Hüllhorst,722,720
Lübbecke,1515,1514
Minden,4287,4286
Petershagen,910,909
Porta Westfalica,1236,1234
Preußisch Oldendorf,672,671
Rahden,789,788
Stemwede,551,550
