,12_08_2021,Vortag
Bad Oeynhausen,3806,3767
Espelkamp,3798,3774
Hille,806,798
Hüllhorst,1205,1197
Lübbecke,2587,2573
Minden,6601,6562
Petershagen,1384,1368
Porta Westfalica,2323,2307
Preußisch Oldendorf,1104,1096
Rahden,1229,1224
Stemwede,816,812
